0.000000000000000000e+00 1.082681845244372809e+01
1.578947368421052655e+00 1.150600199002868784e+01
3.157894736842105310e+00 1.411114448716536174e+01
4.736842105263157521e+00 1.479121854519038770e+01
6.315789473684210620e+00 1.577334105887357296e+01
7.894736842105263719e+00 1.417655634460350633e+01
9.473684210526315042e+00 1.560852883980441774e+01
1.105263157894736814e+01 1.828466606353224932e+01
1.263157894736842124e+01 1.752331927482225282e+01
1.421052631578947434e+01 1.978975499010515193e+01
1.578947368421052744e+01 1.911684070470632690e+01
1.736842105263157876e+01 1.959072140632473591e+01
1.894736842105263008e+01 2.056653387404537625e+01
2.052631578947368496e+01 2.044467048280256094e+01
2.210526315789473628e+01 2.121251089190067063e+01
2.368421052631579116e+01 2.187487296002233350e+01
2.526315789473684248e+01 2.472890941792472574e+01
2.684210526315789380e+01 2.462676943525423567e+01
2.842105263157894868e+01 2.612235380081258640e+01
3.000000000000000000e+01 2.600752849462785932e+01
