Cooling Curve : CIE:[Fe/H] = -2.0											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar
5.05	1.125	1.000	1.064	-22.16	-22.24	-10.29	11.60	34.15	2.116	40.17	0.967
5.10	1.127	1.000	1.064	-22.21	-22.28	-10.24	11.71	38.35	2.116	42.57	0.966
5.15	1.127	1.000	1.064	-22.23	-22.31	-10.19	11.78	43.04	2.116	45.10	0.966
5.20	1.128	1.000	1.064	-22.25	-22.33	-10.14	11.85	48.30	2.116	47.77	0.966
5.25	1.128	1.000	1.064	-22.26	-22.33	-10.09	11.91	54.20	2.116	50.61	0.965
5.30	1.128	1.000	1.064	-22.26	-22.34	-10.04	11.96	60.81	2.116	53.61	0.965
5.35	1.128	1.000	1.064	-22.26	-22.34	-9.993	12.01	68.24	2.116	56.78	0.965
5.40	1.128	1.000	1.064	-22.30	-22.38	-9.943	12.10	76.57	2.116	60.15	0.965
5.45	1.128	1.000	1.064	-22.42	-22.50	-9.893	12.27	85.91	2.116	63.71	0.965
5.50	1.128	1.000	1.064	-22.59	-22.67	-9.843	12.49	96.39	2.116	67.49	0.965
5.55	1.128	1.000	1.064	-22.74	-22.81	-9.793	12.69	108.2	2.116	71.49	0.965
5.60	1.128	1.000	1.064	-22.82	-22.90	-9.743	12.82	121.4	2.116	75.73	0.965
5.65	1.128	1.000	1.064	-22.86	-22.94	-9.693	12.91	136.2	2.116	80.21	0.965
5.70	1.128	1.000	1.064	-22.87	-22.95	-9.643	12.97	152.8	2.116	84.97	0.965
5.75	1.128	1.000	1.064	-22.89	-22.97	-9.593	13.04	171.4	2.116	90.00	0.965
5.80	1.128	1.000	1.064	-22.93	-23.01	-9.543	13.13	192.3	2.116	95.33	0.965
5.85	1.128	1.000	1.064	-23.00	-23.08	-9.493	13.25	215.8	2.116	101.0	0.965
5.90	1.128	1.000	1.064	-23.06	-23.14	-9.443	13.36	242.1	2.116	107.0	0.965
5.95	1.128	1.000	1.064	-23.09	-23.17	-9.393	13.44	271.7	2.116	113.3	0.965
6.00	1.128	1.000	1.064	-23.10	-23.18	-9.343	13.50	304.8	2.116	120.0	0.965
6.05	1.128	1.000	1.064	-23.12	-23.20	-9.293	13.57	342.0	2.116	127.1	0.965
6.10	1.128	1.000	1.064	-23.12	-23.20	-9.243	13.62	383.8	2.116	134.7	0.965
6.15	1.128	1.000	1.064	-23.12	-23.20	-9.193	13.67	430.6	2.116	142.6	0.965
6.20	1.128	1.000	1.064	-23.12	-23.20	-9.143	13.72	483.1	2.116	151.1	0.965
6.25	1.128	1.000	1.064	-23.12	-23.20	-9.093	13.77	542.1	2.116	160.0	0.965
6.30	1.128	1.000	1.064	-23.13	-23.21	-9.043	13.83	608.2	2.116	169.5	0.965
6.35	1.128	1.000	1.064	-23.15	-23.23	-8.993	13.90	682.4	2.116	179.6	0.965
6.40	1.128	1.000	1.064	-23.16	-23.24	-8.943	13.96	765.7	2.116	190.2	0.965
6.45	1.128	1.000	1.064	-23.16	-23.24	-8.893	14.01	859.2	2.116	201.5	0.965
6.50	1.128	1.000	1.064	-23.16	-23.24	-8.843	14.06	964.0	2.116	213.4	0.965
6.55	1.128	1.000	1.064	-23.15	-23.23	-8.793	14.10	1081.6	2.116	226.1	0.965
6.60	1.128	1.000	1.064	-23.14	-23.22	-8.743	14.14	1213.6	2.116	239.5	0.965
6.65	1.128	1.000	1.064	-23.13	-23.21	-8.693	14.18	1361.7	2.116	253.7	0.965
6.70	1.128	1.000	1.064	-23.12	-23.20	-8.643	14.22	1527.8	2.116	268.7	0.965
6.75	1.128	1.000	1.064	-23.11	-23.19	-8.593	14.26	1714.3	2.116	284.6	0.965
6.80	1.128	1.000	1.064	-23.09	-23.17	-8.543	14.29	1923.4	2.116	301.5	0.965
6.85	1.128	1.000	1.064	-23.08	-23.16	-8.493	14.33	2158.1	2.116	319.3	0.965
6.90	1.128	1.000	1.064	-23.06	-23.14	-8.443	14.36	2421.5	2.116	338.3	0.965
6.95	1.128	1.000	1.064	-23.05	-23.13	-8.393	14.40	2716.9	2.116	358.3	0.965
7.00	1.128	1.000	1.064	-23.03	-23.11	-8.343	14.43	3048.4	2.116	379.5	0.965
7.05	1.128	1.000	1.064	-23.01	-23.09	-8.293	14.46	3420.4	2.116	402.0	0.965
7.10	1.128	1.000	1.064	-23.00	-23.07	-8.243	14.50	3837.8	2.116	425.8	0.965
7.15	1.128	1.000	1.064	-22.98	-23.06	-8.193	14.53	4306.0	2.116	451.1	0.965
7.20	1.128	1.000	1.064	-22.96	-23.04	-8.143	14.56	4831.5	2.116	477.8	0.965
7.25	1.128	1.000	1.064	-22.94	-23.02	-8.093	14.59	5421.0	2.116	506.1	0.965
7.30	1.128	1.000	1.064	-22.92	-23.00	-8.043	14.62	6082.4	2.116	536.1	0.965
7.35	1.128	1.000	1.064	-22.90	-22.98	-7.993	14.65	6824.6	2.116	567.9	0.965
7.40	1.128	1.000	1.064	-22.88	-22.96	-7.943	14.68	7657.4	2.116	601.5	0.965
7.45	1.128	1.000	1.064	-22.86	-22.94	-7.893	14.71	8591.7	2.116	637.2	0.965
7.50	1.128	1.000	1.064	-22.84	-22.92	-7.843	14.74	9640.0	2.116	674.9	0.965
7.55	1.128	1.000	1.064	-22.82	-22.90	-7.793	14.77	10816.3	2.116	714.9	0.965
7.60	1.128	1.000	1.064	-22.80	-22.88	-7.743	14.80	12136.1	2.116	757.3	0.965
7.65	1.128	1.000	1.064	-22.78	-22.86	-7.693	14.83	13616.9	2.116	802.1	0.965
7.70	1.128	1.000	1.064	-22.75	-22.83	-7.643	14.85	15278.4	2.116	849.7	0.965
7.75	1.128	1.000	1.064	-22.73	-22.81	-7.593	14.88	17142.7	2.116	900.0	0.965
7.80	1.128	1.000	1.064	-22.71	-22.79	-7.543	14.91	19234.4	2.116	953.4	0.965
7.85	1.128	1.000	1.064	-22.69	-22.77	-7.493	14.94	21581.3	2.116	1009.8	0.965
7.90	1.128	1.000	1.064	-22.67	-22.75	-7.443	14.97	24214.7	2.116	1069.7	0.965
7.95	1.128	1.000	1.064	-22.64	-22.72	-7.393	14.99	27169.3	2.116	1133.1	0.965
8.00	1.128	1.000	1.064	-22.62	-22.70	-7.343	15.02	30484.5	2.116	1200.2	0.965
8.05	1.128	1.000	1.064	-22.60	-22.68	-7.293	15.05	34204.1	2.116	1271.3	0.965
8.10	1.128	1.000	1.064	-22.58	-22.66	-7.243	15.08	38377.7	2.116	1346.7	0.965
8.15	1.128	1.000	1.064	-22.55	-22.63	-7.193	15.10	43060.5	2.116	1426.4	0.965
8.20	1.128	1.000	1.064	-22.53	-22.61	-7.143	15.13	48314.6	2.116	1511.0	0.965
8.25	1.128	1.000	1.064	-22.51	-22.59	-7.093	15.16	54209.9	2.116	1600.5	0.965
8.30	1.128	1.000	1.064	-22.49	-22.56	-7.043	15.19	60824.5	2.116	1695.3	0.965
8.35	1.128	1.000	1.064	-22.46	-22.54	-6.993	15.21	68246.2	2.116	1795.8	0.965
8.40	1.128	1.000	1.064	-22.44	-22.52	-6.943	15.24	76573.5	2.116	1902.2	0.965
8.45	1.128	1.000	1.064	-22.42	-22.50	-6.893	15.27	85916.9	2.116	2014.9	0.965
8.50	1.128	1.000	1.064	-22.39	-22.47	-6.843	15.29	96400.4	2.116	2134.3	0.965
