Cooling Curve : CIE:Solar											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar
6.75	1.208	1.000	1.099	-22.46	-22.59	-8.571	13.65	1804.4	2.387	274.9	1.034
6.80	1.208	1.000	1.099	-22.48	-22.60	-8.521	13.72	2024.7	2.387	291.2	1.034
6.85	1.209	1.000	1.099	-22.48	-22.60	-8.471	13.77	2271.8	2.387	308.5	1.034
6.90	1.209	1.000	1.099	-22.46	-22.59	-8.421	13.80	2549.1	2.387	326.8	1.034
6.95	1.209	1.000	1.099	-22.45	-22.57	-8.371	13.84	2860.2	2.387	346.1	1.034
7.00	1.209	1.000	1.099	-22.45	-22.57	-8.321	13.89	3209.2	2.387	366.7	1.034
7.05	1.209	1.000	1.099	-22.46	-22.59	-8.271	13.95	3600.9	2.387	388.4	1.034
7.10	1.209	1.000	1.099	-22.49	-22.62	-8.221	14.03	4040.4	2.387	411.4	1.034
7.15	1.209	1.000	1.099	-22.53	-22.65	-8.171	14.12	4533.5	2.387	435.8	1.034
7.20	1.209	1.000	1.099	-22.56	-22.68	-8.121	14.20	5086.8	2.387	461.6	1.034
7.25	1.209	1.000	1.099	-22.58	-22.70	-8.071	14.27	5707.5	2.387	489.0	1.034
7.30	1.209	1.000	1.099	-22.60	-22.72	-8.021	14.34	6404.0	2.387	518.0	1.034
7.35	1.209	1.000	1.099	-22.61	-22.73	-7.971	14.40	7185.4	2.387	548.6	1.034
7.40	1.209	1.000	1.099	-22.61	-22.73	-7.921	14.45	8062.2	2.387	581.2	1.034
7.45	1.209	1.000	1.099	-22.61	-22.73	-7.871	14.50	9046.0	2.387	615.6	1.034
7.50	1.209	1.000	1.099	-22.60	-22.73	-7.821	14.54	10149.8	2.387	652.1	1.034
7.55	1.209	1.000	1.099	-22.60	-22.72	-7.771	14.59	11388.3	2.387	690.7	1.034
7.60	1.209	1.000	1.099	-22.59	-22.71	-7.721	14.63	12777.9	2.387	731.6	1.034
7.65	1.209	1.000	1.099	-22.57	-22.70	-7.671	14.66	14337.1	2.387	775.0	1.034
7.70	1.209	1.000	1.099	-22.56	-22.68	-7.621	14.70	16086.6	2.387	820.9	1.034
7.75	1.209	1.000	1.099	-22.54	-22.67	-7.571	14.73	18049.5	2.387	869.6	1.034
7.80	1.209	1.000	1.099	-22.53	-22.65	-7.521	14.77	20251.9	2.387	921.1	1.034
7.85	1.209	1.000	1.099	-22.51	-22.64	-7.471	14.80	22723.1	2.387	975.7	1.034
7.90	1.209	1.000	1.099	-22.49	-22.62	-7.421	14.83	25495.8	2.387	1033.5	1.034
7.95	1.209	1.000	1.099	-22.48	-22.60	-7.371	14.87	28606.9	2.387	1094.7	1.034
8.00	1.209	1.000	1.099	-22.46	-22.58	-7.321	14.90	32097.6	2.387	1159.6	1.034
8.05	1.209	1.000	1.099	-22.44	-22.56	-7.271	14.93	36014.2	2.387	1228.3	1.034
8.10	1.209	1.000	1.099	-22.42	-22.54	-7.221	14.96	40408.7	2.387	1301.1	1.034
8.15	1.209	1.000	1.099	-22.40	-22.53	-7.171	14.99	45339.4	2.387	1378.2	1.034
8.20	1.209	1.000	1.099	-22.38	-22.51	-7.121	15.02	50871.7	2.387	1459.8	1.034
8.25	1.209	1.000	1.099	-22.36	-22.49	-7.071	15.05	57079.1	2.387	1546.3	1.034
8.30	1.209	1.000	1.099	-22.34	-22.47	-7.021	15.08	64044.0	2.387	1638.0	1.034
8.35	1.209	1.000	1.099	-22.32	-22.45	-6.971	15.11	71858.6	2.387	1735.0	1.034
8.40	1.209	1.000	1.099	-22.30	-22.43	-6.921	15.14	80626.8	2.387	1837.8	1.034
8.45	1.209	1.000	1.099	-22.28	-22.40	-6.871	15.17	90464.8	2.387	1946.7	1.034
8.50	1.209	1.000	1.099	-22.26	-22.38	-6.821	15.20	101503	2.387	2062.1	1.034
						
