Cooling Curve : CIE:[Fe/H] = -3.0											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar

4.00	0.0022	1.000	1.064	-26.04	-23.41	-11.66	11.73	1.479	2.114	8.365	1.987
4.05	0.0141	1.000	1.064	-24.69	-22.87	-11.60	11.23	1.682	2.114	8.919	1.961
4.10	0.0701	1.000	1.064	-23.53	-22.40	-11.53	10.82	1.985	2.114	9.690	1.864
4.15	0.2528	1.000	1.064	-22.63	-22.06	-11.41	10.53	2.586	2.114	11.06	1.606
4.20	0.5669	1.000	1.064	-22.12	-21.90	-11.27	10.42	3.594	2.115	13.04	1.297
4.25	0.8163	1.000	1.064	-21.98	-21.92	-11.16	10.48	4.649	2.115	14.83	1.125
4.30	0.9310	1.000	1.064	-22.03	-22.02	-11.08	10.64	5.535	2.115	16.18	1.060
4.35	0.9755	1.000	1.064	-22.13	-22.15	-11.02	10.81	6.349	2.115	17.32	1.037
4.40	0.9980	1.000	1.064	-22.24	-22.26	-10.97	10.98	7.202	2.115	18.45	1.026
4.45	1.020	1.000	1.064	-22.33	-22.36	-10.91	11.13	8.169	2.115	19.65	1.015
4.50	1.042	1.000	1.064	-22.40	-22.45	-10.86	11.26	9.261	2.115	20.92	1.004
4.55	1.055	1.000	1.064	-22.49	-22.54	-10.81	11.41	10.45	2.115	22.23	0.998
4.60	1.060	1.000	1.064	-22.57	-22.62	-10.76	11.54	11.76	2.115	23.58	0.996
4.65	1.062	1.000	1.064	-22.63	-22.68	-10.71	11.65	13.21	2.115	24.99	0.995
4.70	1.064	1.000	1.064	-22.63	-22.69	-10.66	11.70	14.83	2.115	26.48	0.994
4.75	1.065	1.000	1.064	-22.55	-22.61	-10.61	11.67	16.65	2.115	28.06	0.993
4.80	1.070	1.000	1.064	-22.39	-22.45	-10.55	11.56	18.73	2.115	29.75	0.991
4.85	1.082	1.000	1.064	-22.23	-22.29	-10.50	11.46	21.12	2.115	31.60	0.986
4.90	1.099	1.000	1.064	-22.15	-22.21	-10.45	11.43	23.89	2.115	33.60	0.978
4.95	1.113	1.000	1.064	-22.16	-22.23	-10.40	11.50	26.98	2.115	35.71	0.972
5.00	1.121	1.000	1.064	-22.24	-22.31	-10.34	11.63	30.38	2.115	37.90	0.968
