Cooling Curve : CIE:Zero Metals											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar
5.00	1.121	1.000	1.064	-22.25	-22.33	-10.34	11.64	30.38	2.115	37.90	0.968
5.05	1.125	1.000	1.064	-22.36	-22.44	-10.29	11.80	34.15	2.115	40.18	0.966
5.10	1.126	1.000	1.064	-22.46	-22.54	-10.24	11.95	38.34	2.115	42.58	0.966
5.15	1.127	1.000	1.064	-22.56	-22.64	-10.19	12.11	43.04	2.115	45.11	0.965
5.20	1.128	1.000	1.064	-22.66	-22.74	-10.14	12.26	48.30	2.115	47.78	0.965
5.25	1.128	1.000	1.064	-22.74	-22.82	-10.09	12.39	54.19	2.115	50.62	0.965
5.30	1.128	1.000	1.064	-22.82	-22.90	-10.04	12.52	60.81	2.115	53.62	0.965
5.35	1.128	1.000	1.064	-22.89	-22.97	-9.993	12.64	68.23	2.115	56.80	0.965
5.40	1.128	1.000	1.064	-22.95	-23.03	-9.943	12.75	76.56	2.115	60.16	0.965
5.45	1.128	1.000	1.064	-23.01	-23.08	-9.893	12.86	85.90	2.115	63.73	0.965
5.50	1.128	1.000	1.064	-23.05	-23.13	-9.843	12.95	96.38	2.115	67.50	0.965
5.55	1.128	1.000	1.064	-23.09	-23.17	-9.793	13.04	108.1	2.115	71.50	0.965
5.60	1.128	1.000	1.064	-23.13	-23.21	-9.743	13.13	121.3	2.115	75.74	0.965
5.65	1.128	1.000	1.064	-23.16	-23.24	-9.693	13.21	136.1	2.115	80.23	0.965
5.70	1.128	1.000	1.064	-23.18	-23.26	-9.643	13.28	152.8	2.115	84.98	0.965
5.75	1.128	1.000	1.064	-23.20	-23.28	-9.593	13.35	171.4	2.115	90.02	0.965
5.80	1.128	1.000	1.064	-23.22	-23.30	-9.543	13.42	192.3	2.115	95.35	0.965
5.85	1.128	1.000	1.064	-23.23	-23.31	-9.493	13.48	215.8	2.115	101.0	0.965
5.90	1.128	1.000	1.064	-23.24	-23.32	-9.443	13.54	242.1	2.115	107.0	0.965
5.95	1.128	1.000	1.064	-23.25	-23.33	-9.393	13.60	271.6	2.115	113.3	0.965
6.00	1.128	1.000	1.064	-23.25	-23.33	-9.343	13.65	304.8	2.115	120.0	0.965
6.05	1.128	1.000	1.064	-23.25	-23.33	-9.293	13.70	342.0	2.115	127.2	0.965
6.10	1.128	1.000	1.064	-23.25	-23.33	-9.243	13.75	383.7	2.115	134.7	0.965
6.15	1.128	1.000	1.064	-23.25	-23.33	-9.193	13.80	430.5	2.115	142.7	0.965
6.20	1.128	1.000	1.064	-23.25	-23.32	-9.143	13.85	483.1	2.115	151.1	0.965
6.25	1.128	1.000	1.064	-23.24	-23.32	-9.093	13.89	542.0	2.115	160.1	0.965
6.30	1.128	1.000	1.064	-23.23	-23.31	-9.043	13.93	608.1	2.115	169.6	0.965
6.35	1.128	1.000	1.064	-23.23	-23.31	-8.993	13.98	682.3	2.115	179.6	0.965
6.40	1.128	1.000	1.064	-23.23	-23.30	-8.943	14.03	765.6	2.115	190.3	0.965
6.45	1.128	1.000	1.064	-23.21	-23.29	-8.893	14.06	859.0	2.115	201.5	0.965
6.50	1.128	1.000	1.064	-23.20	-23.28	-8.843	14.10	963.8	2.115	213.5	0.965
6.55	1.128	1.000	1.064	-23.19	-23.27	-8.793	14.14	1081.4	2.115	226.1	0.965
6.60	1.128	1.000	1.064	-23.18	-23.25	-8.743	14.18	1213.4	2.115	239.5	0.965
6.65	1.128	1.000	1.064	-23.16	-23.24	-8.693	14.21	1361.5	2.115	253.7	0.965
6.70	1.128	1.000	1.064	-23.15	-23.22	-8.643	14.25	1527.6	2.115	268.7	0.965
6.75	1.128	1.000	1.064	-23.13	-23.21	-8.593	14.28	1714.0	2.115	284.7	0.965
6.80	1.128	1.000	1.064	-23.11	-23.19	-8.543	14.31	1923.1	2.115	301.5	0.965
6.85	1.128	1.000	1.064	-23.10	-23.17	-8.493	14.35	2157.8	2.115	319.4	0.965
6.90	1.128	1.000	1.064	-23.08	-23.16	-8.443	14.38	2421.1	2.115	338.3	0.965
6.95	1.128	1.000	1.064	-23.06	-23.14	-8.393	14.41	2716.5	2.115	358.4	0.965
7.00	1.128	1.000	1.064	-23.05	-23.12	-8.343	14.45	3047.9	2.115	379.6	0.965
7.05	1.128	1.000	1.064	-23.03	-23.11	-8.293	14.48	3419.8	2.115	402.1	0.965
7.10	1.128	1.000	1.064	-23.01	-23.09	-8.243	14.51	3837.1	2.115	425.9	0.965
7.15	1.128	1.000	1.064	-22.99	-23.07	-8.193	14.54	4305.3	2.115	451.2	0.965
7.20	1.128	1.000	1.064	-22.97	-23.05	-8.143	14.57	4830.7	2.115	477.9	0.965
7.25	1.128	1.000	1.064	-22.95	-23.03	-8.093	14.60	5420.1	2.115	506.2	0.965
7.30	1.128	1.000	1.064	-22.93	-23.01	-8.043	14.63	6081.4	2.115	536.2	0.965
7.35	1.128	1.000	1.064	-22.91	-22.99	-7.993	14.66	6823.5	2.115	568.0	0.965
7.40	1.128	1.000	1.064	-22.89	-22.96	-7.943	14.69	7656.1	2.115	601.6	0.965
7.45	1.128	1.000	1.064	-22.86	-22.94	-7.893	14.71	8590.3	2.115	637.3	0.965
7.50	1.128	1.000	1.064	-22.84	-22.92	-7.843	14.74	9638.4	2.115	675.0	0.965
7.55	1.128	1.000	1.064	-22.82	-22.90	-7.793	14.77	10814.5	2.115	715.0	0.965
7.60	1.128	1.000	1.064	-22.80	-22.88	-7.743	14.80	12134.1	2.115	757.4	0.965
7.65	1.128	1.000	1.064	-22.78	-22.86	-7.693	14.83	13614.6	2.115	802.3	0.965
7.70	1.128	1.000	1.064	-22.76	-22.84	-7.643	14.86	15275.9	2.115	849.8	0.965
7.75	1.128	1.000	1.064	-22.74	-22.81	-7.593	14.89	17139.8	2.115	900.2	0.965
7.80	1.128	1.000	1.064	-22.71	-22.79	-7.543	14.91	19231.2	2.115	953.5	0.965
7.85	1.128	1.000	1.064	-22.69	-22.77	-7.493	14.94	21577.8	2.115	1010.0	0.965
7.90	1.128	1.000	1.064	-22.67	-22.75	-7.443	14.97	24210.6	2.115	1069.9	0.965
7.95	1.128	1.000	1.064	-22.65	-22.73	-7.393	15.00	27164.8	2.115	1133.3	0.965
8.00	1.128	1.000	1.064	-22.62	-22.70	-7.343	15.02	30479.4	2.115	1200.4	0.965
8.05	1.128	1.000	1.064	-22.60	-22.68	-7.293	15.05	34198.4	2.115	1271.5	0.965
8.10	1.128	1.000	1.064	-22.58	-22.66	-7.243	15.08	38371.3	2.115	1346.9	0.965
8.15	1.128	1.000	1.064	-22.56	-22.63	-7.193	15.11	43053.3	2.115	1426.7	0.965
8.20	1.128	1.000	1.064	-22.53	-22.61	-7.143	15.13	48306.6	2.115	1511.2	0.965
8.25	1.128	1.000	1.064	-22.51	-22.59	-7.093	15.16	54200.9	2.115	1600.8	0.965
8.30	1.128	1.000	1.064	-22.49	-22.57	-7.043	15.19	60814.4	2.115	1695.6	0.965
8.35	1.128	1.000	1.064	-22.46	-22.54	-6.993	15.21	68234.9	2.115	1796.1	0.965
8.40	1.128	1.000	1.064	-22.44	-22.52	-6.943	15.24	76560.8	2.115	1902.5	0.965
8.45	1.128	1.000	1.064	-22.42	-22.50	-6.893	15.27	85902.6	2.115	2015.3	0.965
8.50	1.128	1.000	1.064	-22.39	-22.47	-6.843	15.29	96384.3	2.115	2134.7	0.965
