Cooling Curve : CIE:[Fe/H] = -0.5											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar

4.00	0.0023	1.000	1.080	-25.83	-23.22	-11.65	11.54	1.505	2.239	8.198	2.069
4.05	0.0141	1.000	1.080	-24.49	-22.68	-11.59	11.04	1.707	2.239	8.732	2.046
4.10	0.0703	1.000	1.080	-23.42	-22.30	-11.52	10.72	2.014	2.239	9.483	1.947
4.15	0.2530	1.000	1.080	-22.56	-22.00	-11.41	10.46	2.619	2.240	10.81	1.680
4.20	0.5673	1.000	1.080	-22.07	-21.85	-11.27	10.37	3.631	2.240	12.73	1.360
4.25	0.8162	1.000	1.080	-21.92	-21.86	-11.16	10.43	4.689	2.240	14.47	1.181
4.30	0.9317	1.000	1.080	-21.94	-21.94	-11.08	10.56	5.582	2.240	15.78	1.113
4.35	0.9767	1.000	1.080	-22.00	-22.02	-11.02	10.69	6.403	2.240	16.91	1.089
4.40	1.001	1.000	1.080	-22.02	-22.06	-10.97	10.77	7.269	2.240	18.01	1.076
4.45	1.027	1.000	1.080	-22.00	-22.05	-10.91	10.81	8.259	2.240	19.20	1.063
4.50	1.054	1.000	1.080	-21.94	-22.00	-10.85	10.81	9.383	2.240	20.47	1.050
4.55	1.069	1.000	1.080	-21.87	-21.93	-10.80	10.80	10.61	2.240	21.76	1.042
4.60	1.076	1.000	1.080	-21.78	-21.85	-10.75	10.76	11.94	2.240	23.08	1.039
4.65	1.079	1.000	1.080	-21.69	-21.75	-10.70	10.72	13.41	2.240	24.46	1.038
4.70	1.080	1.000	1.080	-21.59	-21.66	-10.65	10.67	15.05	2.240	25.92	1.037
4.75	1.082	1.000	1.080	-21.50	-21.57	-10.60	10.63	16.91	2.240	27.47	1.036
4.80	1.088	1.000	1.080	-21.41	-21.48	-10.55	10.60	19.03	2.240	29.14	1.033
4.85	1.103	1.000	1.080	-21.33	-21.41	-10.49	10.57	21.49	2.240	30.97	1.026
4.90	1.124	1.000	1.080	-21.27	-21.35	-10.44	10.57	24.34	2.240	32.96	1.016
